plz,stadtteil,preis,groesse,zimmer,a_name,link
10785,Tiergarten,499000,60.0,2.0,neuer-kp-exklusive-und-moderne-garten-wohnung-mit-privatgarten-in-ruhiger-lage-dicht-am-wasser-,https://www.ebay-kleinanzeigen.de/s-anzeige/neuer-kp-exklusive-und-moderne-garten-wohnung-mit-privatgarten-in-ruhiger-lage-dicht-am-wasser-/2049088420-196-3498
10717,Wilmersdorf,519000,61.0,2.0,geschmackvolle-2-zimmer-altbauwohnung-in-zentraler-lage,https://www.ebay-kleinanzeigen.de/s-anzeige/geschmackvolle-2-zimmer-altbauwohnung-in-zentraler-lage/1902292318-196-3539
12167,Steglitz,549000,101.13,3.0,charmante-und-helle-3-zimmer-stuck-altbauwohnung-in-unmittelbarer-naehe-zum-stadtpark-steglitz,https://www.ebay-kleinanzeigen.de/s-anzeige/charmante-und-helle-3-zimmer-stuck-altbauwohnung-in-unmittelbarer-naehe-zum-stadtpark-steglitz/2103739431-196-3421
10369,Lichtenberg,213096,61.33,3.0,vermietete-etw-zur-kapitalanlage-nahe-dem-volkspark-prenzlauer-berg,https://www.ebay-kleinanzeigen.de/s-anzeige/vermietete-etw-zur-kapitalanlage-nahe-dem-volkspark-prenzlauer-berg/2103811699-196-3546
10587,Charlottenburg,399000,75.0,3.0,ruhige-3-zimmer-wohnung-mit-loggia,https://www.ebay-kleinanzeigen.de/s-anzeige/ruhige-3-zimmer-wohnung-mit-loggia/2049176807-196-3346
10318,Karlshorst,228500,47.0,2.0,kapitalanleger-aufgepasst-gut-vermietete-2-zimmer-wohnung-im-schoenen-karlshorst,https://www.ebay-kleinanzeigen.de/s-anzeige/kapitalanleger-aufgepasst-gut-vermietete-2-zimmer-wohnung-im-schoenen-karlshorst/2077913920-196-25917
10587,Charlottenburg,371500,58.02,2.0,-charmante-2-zimmer-wohnung-an-der-spree-,https://www.ebay-kleinanzeigen.de/s-anzeige/-charmante-2-zimmer-wohnung-an-der-spree-/2077597864-196-3346
13359,Wedding,329900,51.37,1.0,perfekt-fuer-selbstnutzer-eigentumswohnung-nahe-berlin-gesundbrunnen,https://www.ebay-kleinanzeigen.de/s-anzeige/perfekt-fuer-selbstnutzer-eigentumswohnung-nahe-berlin-gesundbrunnen/1989058527-196-9666
12459,Treptow,309000,60.0,2.0,2-room-appartment-in-direct-waterfront-location-on-the-spree,https://www.ebay-kleinanzeigen.de/s-anzeige/2-room-appartment-in-direct-waterfront-location-on-the-spree/2155960250-196-3484
10365,Lichtenberg,332928,46.24,1.0,bezugsfertige-single-wohnung-im-altbau,https://www.ebay-kleinanzeigen.de/s-anzeige/bezugsfertige-single-wohnung-im-altbau/2077664483-196-3545
